지적건명,지적 내용
"수익용 기본재산 관리 부적정","학교법인 구미교육재단은 2019학년도부터 2021학년도까지 수익용 기본재산 72건을 관리하면서 임대수익은 약 1,500천원에 그쳤는데, 재산세와 교육세는 30,020천원을 부담하고 있었고, 이에 따라 매각 등을 포함한 수익창출방안이 충분히 마련되지 않은 상태였다."
"공공기록물의 전자적 생산·관리 의무 미준수","학교법인 구미교육재단과 구미대학교는 업무와 관련해 생산·접수한 공공기록물을 전자적으로 생산·관리하지 않고 수기결재로 처리하는 등, 감사일 현재까지 전자적 생산·관리에 필요한 조치를 취하지 않았다."
"자료 제출 명령 거부 및 물품 임의 파기 등 부당","교육부 종합감사 대응 과정에서 이사회 회의록 변조, 문서등록대장 목록 변조 및 누락, 징계위원회 회의록·직원채용 문서·연봉계약서·지원자 이력서·임용공문 등을 감사기간 중 새로 작성하거나 허위로 작성해 직인을 날인한 사실이 있었고, 감사단장의 자료 제출 요구 이후에도 신뢰성 있는 자료 제출이 이뤄지지 않았으며, C가 제출한 저장매체를 임의 파기한 정황도 있었다."
"감사자료 제출의무 위반","구미대학교는 총장의 결재를 받아 감사 수감자료를 제출하면서, 검찰·경찰로부터 범죄사실 통보를 받은 교직원 3명에 대해 감사자료상 “해당 없음”으로 제출했다. 또한 문서등록대장의 문서제목을 바꿔 범죄사실 통보 내역을 성범죄 경력 조회 관련 문서처럼 보이게 변경한 사실도 확인됐다."
"기록물 평가·폐기 부적정","구미대학교는 2021. 8. 4. 기록물평가심의회를 개최하면서 평가위원 중 민간 전문가의 인원 및 위촉 적절성을 확인할 수 있는 전문가 위촉 관련 문서를 생산하지 않았고, 회의록도 생산하지 않았다. 아울러 성적평가 관련 기록물 폐기와 관련해서도 보존기간 설정 및 폐기 절차가 부적정했다."
"비전임교원 근로계약서 미작성·미보존","구미대학교는 초빙교원 BC를 임용했음에도 근로계약서가 현존하지 않는 등, BC 등 7명과 근로계약을 체결했음에도 근로계약서를 작성하지 않거나 보존하지 않았다."
"교직원 특별상여금(성과상여금) 지급 부적정","2020학년도 교직원 성과상여금 지급 시 E가 A, T에게 보고해 직원 38명, 교원 40명의 대학 기여도와 개인별 성과상여금액을 사전에 결정했고, 그에 맞추어 평가표를 임의로 기재하는 등 객관적 기준과 규정에 따른 심의·결정 절차 없이 상여금이 지급됐다."
"채용기준 미충족자 교원 임용","구미대학교는 전임교원 신규채용 과정에서 지원자가 채용기준을 충족하는지 객관적으로 검증해야 함에도, 기준 미충족자를 교원으로 임용한 사실이 확인됐다. 전형 기준과 심사 절차를 갖추고도 이를 적정하게 적용하지 않은 것이 문제였다."
"교원징계 미조치 및 절차 중단","범죄사실 통보 등 교원 징계 사유가 발생했음에도, 학교법인과 대학은 충분한 조사 후 교원징계위원회에 징계의결을 요구해야 하는 절차를 밟지 않거나 중단했다. 의원면직 제한대상 확인 및 징계의결 요구 등도 적정하게 이뤄지지 않았다."
"채용절차·복무관리 및 교비회계 관리 부당 등","직원 채용, 복무관리, 근태 운영, 교비회계 처리 전반에서 규정 위반이 확인됐다. 업무시간 중 무단 이탈, 복무상태 관리 부실, 채용 절차와 관련 서류 관리 미흡 등이 함께 지적된 항목이다."
"급여 등 제3자 부당 지급","사무직원은 학교법인 또는 사립학교경영자가 임용해야 하는데, 실제 급여가 정당한 임용 절차와 무관한 제3자에게 지급된 사례가 확인됐다. 임용·근로관계·급여 지급 주체가 불일치한 문제가 있었다."
"특임교수 채용 및 급여 지급 부적정","특임교수를 채용하고 급여를 지급하면서, 초빙·겸임교원 관련 규정과 임용 절차를 제대로 따르지 않았다. 채용의 근거와 급여 산정·지급 방식이 규정상 요건에 맞지 않았다."
"교비 집행 기부금, 총장 개인 소득세 공제로 부당 신고","구미대학교가 2021. 7. 5. 후원 목적 등으로 교비회계에서 집행한 100만원을 총장 개인의 연말정산 소득·세액공제 신고에 반영하는 등, 교비를 개인 세액공제에 연결해 부당하게 신고한 사실이 확인됐다."
"여비 집행 부적정","T가 2019. 3. 13. ‘대학업무 관련 협의’ 목적의 당일 출장을 다녀왔음에도, 출장 목적과 실제 소요일수, 여비 정산이 규정대로 처리되지 않았다. 공무상 출장은 실제 소요 일수와 증빙에 따라 지급해야 하나 그 기준이 지켜지지 않았다."
"A·T 업무추진비 정산 업무처리 부적정 등","업무추진비 정산과 사용 증빙이 부적정했고, 회계처리의 객관성·공정성이 미흡했다. 학교회계의 목적 외 사용 금지와 증빙 기반 정산 원칙을 지키지 않은 점이 지적됐다."
"등록금회계 이월금 관리 부적정","원문 지적사항에는 추가 설명이 거의 없고, 등록금회계 이월금의 관리가 부적정하다는 제목성 지적이 중심이다. 이월금의 보유·운용·회계처리 기준을 적정하게 따르지 않은 항목으로 보면 된다."
"추가경정예산 편성 전 초과 집행","추가경정예산을 편성하기 전에 이미 예산을 초과해 집행한 사실이 지적됐다. 예산 조정 전에 지출을 먼저 해버린 회계 운영상 하자다."
"홍보비 집행 부적정","2019회계연도에 고교 홍보 출장비를 ‘홍보비’ 계정과목에서 1,936건 146,855,750원 집행하는 등, 홍보비와 여비교통비 등 계정과목의 성격에 맞지 않게 처리한 사실이 확인됐다."
"교비 수입(제증명 및 시설사용료 등) 미세입 후 무단 사용","제증명 수수료, 시설사용료 등 교비 수입을 세입으로 처리하지 않고 별도로 사용한 사례가 있었다. 수입금의 귀속과 세입·세출 처리 원칙을 위반한 것이다."
"특성화고 등을 졸업한 재직자 특별전형 부적정","2022학년도 특성화고 졸업 재직자 특별전형에서 BA는 산업체 근무경력이 3년 미만이었는데도 합격 처리됐다. 또 2020학년도에는 재직증명서를 제출하지 않은 지원자를 별도 합격 사정 없이 합격 처리한 사례도 있었다."
"전문대학 입학전형 업무 회피 및 검증 부적정","원문에는 추가 서술이 거의 없고, 입학전형 업무를 회피하거나 지원자 검증을 적정하게 하지 않았다는 제목성 지적이 중심이다. 입학전형 관련 역할 분담과 검증 책임이 제대로 이행되지 않은 항목이다."
"입학전형 공정성 확보방안 미수립 및 면접평가 부적정","2020학년도부터 2022학년도까지 입학전형 공정성과 투명성 제고를 위한 부정방지 대책과 입시 윤리규정을 포함한 공정성 확보방안을 수립·운영하지 않았다. 또한 면접평가에서 실제 평가자가 다른 사람 명의로 평가표를 작성하는 등, 면접평가의 공정성과 진실성이 훼손됐다."
"계약학과 학사 운영 부적정","계약학과 재학생의 산업체 재직 여부를 가을학기 개시 전월 원천징수영수증, 4대 보험 가입증명서, 재직증명서로 확인해야 함에도, 2019학년도 2학기부터 2020학년도 2학기 개시 전월까지 이를 확인하지 않았다. 산업체 통보 의무도 제대로 이행되지 않았다."
"성적평가 부당 등","성적평가는 출석, 평소 학습성적, 과제, 시험성적 등을 기준에 따라 종합평가해야 하는데, 실제로는 추가시험 신청 절차, 응시료 부과, 평가 방법 등에서 규정 위반이 있었다. 교원들이 법령과 학칙에 따른 공정한 성적평가 의무를 다하지 않은 점이 문제였다."
"보강 미실시 및 초과강의료 지급 부적정","부교수 BI가 2020학년도 2학기에 출장 등을 이유로 수업을 휴·보강 승인 절차 없이 결강하고, 결강한 수업시간을 보강하지 않았다. 그럼에도 초과강의료 지급과 관련한 처리도 규정에 맞지 않았다."
"전임교원 강의책임시간 미준수","2021학년도 1학기 강의시간을 배정하면서 조교수 AL에게 주당 책임시간 15시간에 미달하는 9시간만 배정하는 등, 전임교원의 주당 책임강의시간 기준을 지키지 않았다."
"장학금 지급 부적정","학사경고 대상자는 해당 학기 이내 장학금을 신청할 수 없고, 등록금을 초과하는 장학금 수혜도 제한되는데, 이러한 제한 기준을 제대로 확인하지 않은 채 장학금이 지급된 사례가 확인됐다."
"현장실습 상해보험 미가입","현장실습생을 피보험자로 하는 상해보험 가입과 현장지도, 운영 점검이 필요했지만, 구미대학교는 현장실습학기제 참여 학생 보호조치를 충분히 하지 않았다. 결국 실습 중 사고에 대비한 보험 가입 의무를 이행하지 않았다."
