지적건명,지적내용
"이사회 운영 부당","로 이사회 회의록 등 관련 서류 일체를 허위로 작성한 사실이 있다. 개 안건 을 심의･ 의결한 것으로 이사회 회의록을 작성한 사실이 있다."
"법인 감사 대상 이사회 소집(출석) 미통지 부당","하지 않아 감사의 직무를 정상적으로 수행할 수 없게 한 사실이 있다."
"C 권한 위임 및 대학 보직 부여 부당","나. 검토결과 지정한 사례로 확인된다. 또한, 2023. 10. 위임장 작성 전에도 C의 사전결재가 이뤄지지 못해 왔고 서울에 기 때문인 점으로 미루어 일시적인 상황으로 보기 어렵다."
"법인 임원의 친족관계에 있는 교직원 홈페이지 미공개",""
"정관 개정 및 명예퇴직수당 지급 부당",""
"사무직원 신규채용 및 전보 부적정","그 결과 ◇◇ 분사무소 업무 (서영대 ◇◇) 추진의 중요성이 더 크다고 판단하여 관 아울러, 2019. 9. 25.에 개최된 직원인사위원회 회의록에 W의 채용 건 없이 전 전보 발령 안건에서 채용 건을 함께 논의하였다는 의견만을 제출하였다. 관할 법인과 학교에 지도·감독을 철저히 하겠다는 의견을 제출하였다. 아울러, ｢ 지침(2019.3.)｣ 에는 “대학 법인 소속 사무직원과의 교류발령 또는 전입 위반사항으로 보이지 않는다는 참고의견을 제출하였다. 또는 “국가 재정 손실” 등을 의도한 것으로 단정하기 힘들어 보인다. 다만, 서영대학교 ◇◇에 신규임용된 것에 대해 직원인사위원회 심의가 있었 또한, 이와 같은 인사 사례가 공개채용을 회피할 목적으로 악용될 수 있고, 이후 있도록 관할청인 광주광역시교육감에 통보함이 적정한 것으로 보인다."
"범죄사실 통보 교원에 대한 징계의결 미요구",""
"감사자료 제출 누락",""
"교원 의원면직 제한사유 미조회",""
"신규 일반직원(특수관계인) 부당 채용","또한, 인사 발령과 관련하여 직급을 심의 및 결정한 직원인사위원회 위원장 및 또한, 당시 신규 임용된 3명에 대하여 신원조회 및 성범죄전력조회를 임용일인 2020. 8. 1.로부터 6일이 경과한 2020. 8. 7.에 실시하였다."
"파주 문화예술관 운영 부적정","의 수당으로 매월 ◤ ◤ 천원이 와 같이 지급되어온 사실이 있다."
"신규교원 연봉 책정 부적정",""
"계약직(임시직) 보직 부여 등 부적정","대상에서 제외했다고 답했다. 학교법인의 자유의사는 관계법령을 준수하는 범위 내에서 이루어져야 한다. 같은 주장은 인정하기 어렵다."
"보직 및 직책수당 중복 지급 부적정","그 결과, ”보직 및 직책수당 임의지급 직책 현황“과 같이 □□캠퍼스 및 직책수당을 임의로 지급하였다."
"일반직원 정원 초과 임용(채용·승진) 부당","위 의견은 인정하기 어렵다. 5. 징계요구 양정 위반) 에 따른 징계처분의 대상이 된다. 요구하는 것이 적정할 것으로 판단된다."
"전임교원 공개채용 지원자격 심사위원 구성 부적정",""
"강사 임용 전 성범죄 경력 미조회",""
"I 자녀 교원 신규채용 부당","그러나, 서영대학교는 지원자격심사에서 AF의 서영대학교 ◁◁ 행정직원 경력(3"
"명예퇴직 대상자 선정 부적정","규정 숙지 및 업무수행에 각별히 유념하도록 하겠다는 의견을 제시하였다."
