지적건명,지적내용
육아 휴직 수당 관련 정관 미개정 등 부적정,"학교법인 울산공업학원은 2020. 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 을 따르도록 ｢ 사립학교법｣ 이 시행 (개정 2020. 24.) 되었는데도, ‘육아휴직 교원에 대하여 봉급을 지급하지 아니한다.’라고 정한 ｢ 학교법인 울산공업학원 정관｣ 제47조 제3항을 2023. 감사일 현재까지도 개정하지 아니 < ｢ 학교법인 울산공업학원 정관 ｣ > 제44조 (휴직) 교원이 다음 각호의 어느 하나에 해당하는 사유로 휴직을 원하는 경우에는 당해 교원의 임용권자는 휴직을 명할 수 있다. 다만, 제1호 내지 제4호의 경우에는 본인의 의사에도 불구하고 휴직을 명하여야 하고, 제7호 및 7호의2의 경우에는 본인이 원하는 경우 휴직을 명하여야 한다. 만 8세 이하 또는 초등학교 2학년 이하의 자녀를 양육하기 위하여 필요하거나 여성 교원이 임신 또는 출산하게 된 때 제47조 (휴직교원의 처우) ⓛ 제44조 제1호의 규정에 의하여 휴직된 교원에 대하여는 그 휴직기간 중 봉급의 7할을 지급한다. 다만, 결핵성 질환으로 인한 휴직의 경우에는 그 휴직기간 중 봉급의 8할을 지급하며, 공무상 질병으로 휴직한 경우에는 그 기간 중 봉급의 전액을 지급한다. ② 제44조 제5호에 의하여 휴직한 교원에 대해서는 봉급의 5할을 지급할 수 있다. ③ 제1항 및 제2항에 규정되지 아니한 휴직의 경우에는 봉급을 지급하지 아니한다. 그 결과, “사립학교 교원의 육아휴직 등을 안정적으로 보장하기 위하여 그 동안 학교법인의 정관으로 규율하고 있던 사립학교 교원의 육아휴직 기간 및 처우에 관한 사항을 법률에 직접 규정”하려는 ｢ 사립학교법｣ 의 개정 취지에 위배되는 결과를 초래하였다. < ｢ 사립학교법 ｣ 개정 전·후 비교> ｢ 사립학교법 ｣ (~2020.9.24.) ｢ 사립학교법 ｣ (2020.9.25.~) 제59조(휴직의 사유) ① - 생 략 - 제59조(휴직의 사유) ① - 생 략 - ②제1항의 휴직의 기간과 휴직자의 신분 및 처우 ②제1항 제7호의 사유로 인한 휴직기간은 자녀 등에 관하여는 정관으로 정한다. 1명에 대하여 3년 이내로 하되 분할하여 휴직할 수 있고, 같은 항 제7호의2의 사유로 인한 휴직 ③임용권자는 제1항제7호 및 제7호의2의 규정에 기간은 입양자녀 1명에 대하여 6개월 이내로 한다. 의한 휴직을 이유로 인사상 불리한 처우를 하여 서는 아니되며, 동호의 휴직기간은 근속기간에 ③임용권자는 제1항 제7호 및 제7호의2에 따른 산입한다. 휴직을 이유로 인사상 불리한 처우를 하여서는 아니 되고, 같은 호의 휴직기간은 근속기간에 포함하며, 그 밖에 같은 호에 따른 휴직자의 신분 및 처우 등에 관하여 필요한 사항은 대통령령으로 ④제1항부터 제3항까지에서 규정한 사항 외에 휴직기간과 휴직자의 신분 및 처우 등에 관하여는 정관으로 정한다. 그리고, 울산대학교는 2020. 9.까지 와 같이 E 등 2명에게 육아휴직을 명하고도, 2020. ｢ 교원 보수 규정｣ 개정 전 자녀양육수당으로 정한 500,000원만 지급하였다. 【표 2】육아휴직수당 과소 지급 현황 연번 소 속 직 성 명 휴직기간 기지급액 정당지급액 차액(a) 기지급액 정당지급액 차액(b) 1 ◀학과 조교수 E - - - - - - - - 2 ◆학부 부교수 F - - - - - - - - 그 결과, E 등 2명은 ｢ 사립학교법 시행령｣ 등에 규정되어 있는 육아휴직 수당 합계 2,400,000원 (1,200,000원/인) 을 덜 지급받게 되었다."
허위 검수조서 작성 및 구매대금 부당 지급,"기자재 구매요구부서인 ○사업단 (5건) 과 ◇학부 (1건/개인 연구과제) 는 ▷▷(주)와 계약 체결한 기자재 (6건) 에 대하여 납품 기일인 2023. (5건) 에 전혀 납품되지 않았음에도 사업기간 (회계연도) 내에 예산을 집행해야 한다는 등의 사유로 계약업체 ▷▷(주)에서 받은 기자재 사진을 울산대학교 UWIN 시스템 (대학 자체 전산시스템) 에 등록하고 검수 조서를 출력하였다. 그리고, ○사업단의 물품운용관 (단장 H) , 분임물품운용관 (팀장 I) , 입회자 (사무원 J, K) 와 ◇학부의 분임물품운용관 (학부장 L) , 입회자 (조교수 G) 은 “허위 검수조서에 따른 대금 지급 명세”와 같이 2023. 14.부터 같은 해 4. 18.까지 기자재가 납품 되지 않았음에도 완료된 것처럼 총 6건의 허위로 작성한 검수조서 (1차 검수) 를 구매 관재팀 (5건) 과 산학구매팀 (1건) 에 제출하였으며, 구매관재팀 (산학구매팀) 의 검수자 M (2차 검수) 은 실제 납품여부를 확인하지 않고 구매요구부서에서 제출한 검수조서의 자필서명과 UWIN 시스템에 등록된 기자재 사진을 근거로 2023. 17.부터 같은 해"
일반경쟁입찰 대상 수의계약 체결 부당,"울산대학교병원은【표 2】“일반경쟁 입찰대상 수의계약 체결 현황”과 같이 추정가격이 2천만원을 초과하고, 예외 사유에도 해당하지 않아 일반경쟁 대상인 ‘ ㅅ 계약’ 등 57건에 대하여 수의계약을 체결하였다. 【표 2】일반경쟁 입찰대상 수의계약 체결 현황 (단위 : 천원) 2019년도 2020년도 2021년도 2022년도 2023년도 계 건 금액 건 금액 건 금액 건 금액 건 금액 건 금액"
의학연구비 지급 부적정,"울산대병원은【표2】“X 의학연구비 지급현황”과 같이 2018. 6.까지 의사직 교원 및 임상교원이 아닌 행정직으로 임용된 X에게 매월 의학연구비 합계 14,749,980원을 지급하였다. "
학생생활관 소속 직원 대리운전 비용 지원 부적정,"울산대학교는 2020. 6월 감사일 현재까지 AA 등 학생 생활관 소속직원 총 15명에게【표】“계정과목 (복리후생비) 목적 외 집행 (대리운전 비용) 현황”과 같이 총 88건의 대리운전 비용 합계 1,741,300원을 “자금계산서 계정과목 명세표” 상 지출항목(복리후생비)의 목적과 달리 집행 처리하였다. 【표】계정과목(복리후생비) 목적 외 집행(대리운전비용) 현황 연번 직 성명 건수 지원금액 연번 직 성명 건수 금액"
교직원 부양가족 건강검진비 교비회계 지원 부적정,"울산대학교는 2013. ▼과 “부양가족 1인에 대한 종합건강 검진을 조합원과 동일한 조건으로 매 2년마다 실시한다.” 는 내용을 포함한 단체 협약을 체결하고, 부양가족에 대한 건강검진비를 교비회계에서 지원할 수 있는 근거가 없는데도, 해당 단체협약을 근거로 감사대상 기간인 2020. 6.까지 과 같이 5차례에 걸쳐 교직원 부양가족 총 463명에게 합계 170,990,000원의 건강 검진비를 교비회계 (복리후생비, 비등록금회계) 로 지원하였다. 【표 1】교직원 부양가족 건강검진비 지원 현황 (단위 : 명, 원) 배우자 배우자 부모 부 모 자 녀 계 연번 집 행 일 인원 지 원 액 인원 지 원 액 인원 지 원 액 인원 지 원 액 인원 지 원 액 그 결과, 울산대학교는 교비회계에서 합계 170,990,000원 상당액을 ｢ 사립학교법｣ 및 ｢ 사립학교법 시행령｣ 으로 규정된 학교교육에 직접 필요한 경비 등으로 사용하지 못하는 결과를 초래하였다."
연구재료비 집행 부당,"울산대학교 연구책임자 56명은 2020. 4.까지 91개의 국가연구개발사업 등 연구과제를 수행하면서, 와 같이 총 719건의 물품에 대한 증빙자료로 실제 납품한 물품을 직접 확인하여 촬영한 사진이 아닌 업체에서 제공한 사진파일 등을 연구물품 구매의 증빙서류로 첨부하거나, 이미 다른 연구물품 구매의 증빙서류로 첨부한 사진과 동일한 사진을 다시 첨부하는 등의 방법으로 증빙서류를 제출하였다. 그 결과, 울산대학교 산학협력단은 위와 같이 실제 물품 구매 여부를 객관적으로 확인할 수 없는 부당하게 제출된 구매 증빙서류를 근거로 국가연구개발사업 연구비 등 합계 1,364,319,540원을 집행하는 결과를 초래하였다."
연구과제 회의비 집행 부적정,"CR 등 연구책임자 25명은 국가연구개발사업 등을 수행하면서 과 같이 2019. 4.까지 총 58차례에 걸쳐 동 시간대 2개 이상 연구과제의 연구비 카드를 나누어서 결제한 뒤, 회의 참석자의 일부 또는 전부가 각 연구 과제 회의에 별도로 참석한 것으로 ‘회의비 사용 내역서’를 작성하여 울산대학교 산학협력단에 제출하였다. 그 결과, 울산대학교 산학협력단은 회의비 1인당 기준 금액보다 적게는 9,300원부터 많게는 492,000원까지 합계 5,475,420원을 초과하여 집행하는 결과를 초래하였다."
공동기기센터 장비 사용료 미징수 등 관리 부적정,"감사 기간 동안 울산대학교 공동기기센터의 장비 사용 현황을 확인한 결과, 【붙임】“공동기기센터 사용료 기간 초과 납입 현황”과 같이 울산대학교 소속 교수 9명은 2020년부터 2022년 기간 동안 공동기기센터 장비 119건을 사용하고도 기기 사용 종료일을 기준으로 감사일 현재까지 (2023. 16.) 최소 7개월에서 최대 38개월까지 사용료 총액 13,413,500원을 납부하지 않고 있다. 그럼에도 울산대학교 공동기기센터는 교수 9인에 대한 사용료 징수 및 장비 사용의 중지 등 별도의 조치를 하지 않았다."
지식재산권 미신고 부적정,울산대학교 교수 5명은【표】“직무발명 지식재산권 개인 명의 출원·등록 현황”과 같이 총 8건의 직무발명을 하고도 산학협력단에 신고하지 아니하고 개인 및 공동명의로 출원·등록하였다.
시설공사 법정경비 미정산 부적정,"울산대학교는 2021. 6월 감사일 현재까지【붙임】 “법정 경비 (국민건강보험료 등) 미정산 현황”과 같이 2021. ㈜☆☆ (대표 EB) 과 계약한 ‘ ㅋ 공사’ 등 총 6건 (계약금액 합계 1,642,170천원) 에 대해 준공일에 제출된 준공 서류를 검토하면서 미사용한 국민건강 보험료 등 법정경비 합계 33,293천원 (국민건강‧ 연금보험료 24,984천원, 노인장기요양보험료 2,079천원, 퇴직공제부금비 6,227천원) 을 감액·정산하지 않고 도급자가 제출한 준공서류만을 근거로 준공금액을 1,642,170 천원으로 확정하여 지급하지 않아야 할 미사용 법정경비 33,293천원을 지급한 사실이 있다."
